dataset,review_id,head,relation,tail,AAKV_text,generation_outcome,head_preserved_auto,tail_preserved_auto,human_relation_faithful_YN,human_direction_correct_YN,human_hallucination_present_YN,human_acceptable_YN,human_notes
ESC-50,01_ESC50-01,crackling fire,belongs to class,music venue,The sound of crackling fire does not belong to class music venue.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-02,siren,event composed of,door domestic,The sound of siren is composed of door domestic.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-03,crickets,has children,whistling,The sound of crickets has children whistling.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-04,clock alarm,has parent,elevator door opening,The sound of clock alarm has parent elevator door opening.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-05,door wood creaks,perceived as,door opening,The sound of door wood creaks is perceived as door opening.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-06,door wood creaks,event composed of,opening,The sound of door wood creaks is composed of opening.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-07,can opening,has children,refrigerator,The sound of can opening has children from the refrigerator.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-08,rooster,has parent,rumble,The sound of rooster has parent rumble.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-09,dog,perceived as,growling,The sound of dog perceived as growling.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-10,chainsaw,belongs to class,light engine (high frequency),The sound of chainsaw has the relation belongs to class with light engine (high frequency).,universal_fallback,True,True,,,,,
ESC-50,01_ESC50-11,crackling fire,event composed of,melodic,The sound of crackling fire has the relation event composed of with melodic.,universal_fallback,True,True,,,,,
ESC-50,01_ESC50-12,engine,has children,medium engine (mid frequency),The sound of engine has the relation has children with medium engine (mid frequency).,universal_fallback,True,True,,,,,
ESC-50,01_ESC50-13,airplane,belongs to class,vehicle,The sound of airplane belongs to class vehicle.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-14,vacuum cleaner,event composed of,cooling system,The sound of vacuum cleaner is composed of cooling system.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-15,toilet flush,has children,door domestic,The sound of toilet flush has children door domestic.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-16,hand saw,has parent,powered saw,The sound of hand saw has parent powered saw.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-17,clock tick,perceived as,doorbell,The sound of clock tick is perceived as doorbell.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-18,door wood creaks,event composed of,door closing,The sound of door wood creaks is composed of door closing.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-19,pig,has children,pig oink,The sound of pig has children oink.,accepted_repair,True,False,,,,,
ESC-50,01_ESC50-20,car horn,has parent,vehicle horn,The sound of car horn has parent vehicle horn.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-21,helicopter,perceived as,short,The sound of helicopter is perceived as short.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-22,clock alarm,has children,a sharp sound made by a car door,The sound of clock alarm has the relation has children with a sharp sound made by a car door.,universal_fallback,True,True,,,,,
ESC-50,01_ESC50-23,keyboard typing,belongs to class,domestic sounds,The sound of keyboard typing belongs to the class of domestic sounds.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-24,chirping birds,event composed of,a fine mist of liquid or gas,The sound of chirping birds is not composed of a fine mist of liquid or gas.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-25,coughing,has children,air conditioning,The sound of coughing has children with air conditioning.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-26,clapping,has parent,applause,The sound of clapping has parent applause.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-27,sheep,perceived as,channel environment and background,The sound of sheep is perceived as channel environment and background.,accepted_first,True,True,,,,,
ESC-50,01_ESC50-28,crow,event composed of,bird song,The sound of crow is composed of bird song.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-29,dog,has children,dog pant,The sound of dog has children dog pant.,accepted_repair,True,True,,,,,
ESC-50,01_ESC50-30,siren,has parent,rush hour traffic,The sound of siren has parent rush hour traffic.,accepted_repair,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-01,street music,associated with environment,computer keyboard,The sound of street music is associated with the environment of a computer keyboard.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-02,drilling,localized in,geological exploration site,The sound of drilling is localized in geological exploration site.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-03,car horn,occurs in,car interior,The sound of car horn occurs in car interior.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-04,children playing,overlaps with,human non-speech sounds,The sound of children playing overlaps with human non-speech sounds.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-05,air conditioner,part of scene,apartment,The sound of air conditioner is part of the scene in an apartment.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-06,gun shot,used for,singing,The sound of gun shot is used for singing.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-07,gun shot,associated with environment,bird,The sound of gun shot is associated with the environment of bird.,accepted_repair,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-08,siren,part of scene,sound of things,The sound of siren is part of scene sound of things.,accepted_repair,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-09,siren,used for,ding-dong,The sound of siren used for ding-dong.,accepted_repair,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-10,drilling,associated with environment,mining site,The sound of drilling has the relation associated with environment with mining site.,universal_fallback,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-11,children playing,part of scene,footsteps on floor,The sound of children playing has the relation part of scene with footsteps on floor.,universal_fallback,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-12,dog bark,associated with environment,horse snort,The sound of dog bark is associated with environment horse snort.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-13,car horn,localized in,parking lot,The sound of car horn is localized in parking lot.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-14,street music,occurs in,sine wave,The sound of street music occurs in a sine wave.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-15,gun shot,overlaps with,humming,The sound of gun shot overlaps with humming.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-16,siren,part of scene,home,The sound of siren is part of scene at home.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-17,air conditioner,used for,sound of things,The sound of air conditioner is used for sound of things.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-18,car horn,associated with environment,trail,The sound of car horn is associated with environment trail.,accepted_repair,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-19,siren,part of scene,things,The sound of siren is part of scene things.,accepted_repair,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-20,engine idling,associated with environment,street,The sound of engine idling has the relation associated with environment with street.,universal_fallback,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-21,street music,associated with environment,channel environment and background,The sound of street music is associated with channel environment and background.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-22,street music,localized in,elevator door opening,The sound of street music localized in elevator door opening.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-23,jackhammer,occurs in,construction site,The sound of jackhammer occurs in construction site.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-24,siren,overlaps with,warning,The sound of siren overlaps with warning.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-25,jackhammer,part of scene,demolition site,The sound of jackhammer is part of scene at demolition site.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-26,children playing,used for,warning,The sound of children playing is used for warning.,accepted_first,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-27,air conditioner,associated with environment,office,The sound of air conditioner is associated with environment office.,accepted_repair,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-28,car horn,part of scene,traffic,The sound of car horn is part of scene traffic.,accepted_repair,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-29,engine idling,associated with environment,road,The sound of engine idling has the relation associated with environment with road.,universal_fallback,True,True,,,,,
UrbanSound8K,02_UrbanSound8K-30,car horn,associated with environment,driveway,The sound of car horn is associated with environment driveway.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-01,Laughter,has parent,sniggering,The sound of Laughter has a parent sound called sniggering.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-02,Acoustic guitar,is sound of,banjo,The sound of Acoustic guitar is like a banjo.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-03,"Whoosh, swoosh, swish",overlaps with,popcorn,"The sound of Whoosh, swoosh, swish overlaps with popcorn.",accepted_first,True,True,,,,,
FSD50K,03_FSD50K-04,Speech synthesizer,transcribed as,monologue,The sound of Speech synthesizer transcribed as monologue.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-05,Slam,has parent,door slam,The sound of Slam has parent door slam.,accepted_repair,True,True,,,,,
FSD50K,03_FSD50K-06,Buzz,is sound of,natural sounds,The sound of Buzz is natural sounds.,accepted_repair,True,True,,,,,
FSD50K,03_FSD50K-07,Skateboard,transcribed as,grinding on ramp,The sound of Skateboard is transcribed as grinding on ramp.,accepted_repair,True,True,,,,,
FSD50K,03_FSD50K-08,Fart,has parent,"a sharp, short sound made by someone at the door","The sound of Fart has the relation has parent with a sharp, short sound made by someone at the door.",universal_fallback,True,True,,,,,
FSD50K,03_FSD50K-09,Drum,overlaps with,rhythm,The sound of Drum has the relation overlaps with with rhythm.,universal_fallback,True,True,,,,,
FSD50K,03_FSD50K-10,Rattle,transcribed as,"a rapid, high-pitched sound made by a bird in flight, often heard in the forest","The sound of Rattle has the relation transcribed as with a rapid, high-pitched sound made by a bird in flight, often heard in the forest.",universal_fallback,True,True,,,,,
FSD50K,03_FSD50K-11,Cheering,has parent,vibration,The sound of Cheering has a parent vibration.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-12,Power tool,is sound of,hammering,The sound of Power tool is hammering.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-13,Bus,overlaps with,bus engine,The sound of Bus overlaps with bus engine.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-14,Fill (with liquid),transcribed as,refrigerator,The sound of Fill (with liquid) transcribed as refrigerator.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-15,Crow,has parent,wild animal,The sound of Crow has parent wild animal.,accepted_repair,True,True,,,,,
FSD50K,03_FSD50K-16,Skateboard,transcribed as,grinding on rail,The sound of Skateboard is transcribed as grinding on rail.,accepted_repair,True,True,,,,,
FSD50K,03_FSD50K-17,Power tool,has parent,light engine (high frequency),The sound of Power tool has the relation has parent with light engine (high frequency).,universal_fallback,True,True,,,,,
FSD50K,03_FSD50K-18,Bass drum,overlaps with,rhythm,The sound of Bass drum has the relation overlaps with with rhythm.,universal_fallback,True,True,,,,,
FSD50K,03_FSD50K-19,"Marimba, xylophone",transcribed as,harmonic vibrations,"The sound of Marimba, xylophone has the relation transcribed as with harmonic vibrations.",universal_fallback,True,True,,,,,
FSD50K,03_FSD50K-20,Music,has parent,harmony,The sound of Music has parent harmony.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-21,"Water tap, faucet",is sound of,cutlery or dishes,"The sound of Water tap, faucet is cutlery or dishes.",accepted_first,True,True,,,,,
FSD50K,03_FSD50K-22,"Water tap, faucet",overlaps with,water flowing,"The sound of Water tap, faucet overlaps with water flowing.",accepted_first,True,True,,,,,
FSD50K,03_FSD50K-23,Tick-tock,transcribed as,park,The sound of Tick-tock transcribed as park.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-24,Sliding door,has parent,domestic sounds,The sound of Sliding door has parent domestic sounds.,accepted_repair,True,True,,,,,
FSD50K,03_FSD50K-25,Skateboard,transcribed as,grinding on bowl,The sound of Skateboard is transcribed as grinding on bowl.,accepted_repair,True,True,,,,,
FSD50K,03_FSD50K-26,Mallet percussion,overlaps with,rhythm,The sound of Mallet percussion has the relation overlaps with with rhythm.,universal_fallback,True,True,,,,,
FSD50K,03_FSD50K-27,Drawer open or close,has parent,domestic sounds,The sound of Drawer open or close has parent domestic sounds.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-28,Speech,is sound of,voice,The sound of Speech is the voice.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-29,Crack,overlaps with,things,The sound of Crack overlaps with things.,accepted_first,True,True,,,,,
FSD50K,03_FSD50K-30,Drawer open or close,transcribed as,crash,The sound of Drawer open or close transcribed as crash.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-01,bus,associated with environment,airport,The sound of bus is associated with environment airport.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-02,bus,described by,a vehicle designed for carrying passengers on long-distance trips,The sound of bus is described by a vehicle designed for carrying passengers on long-distance trips.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-03,car passing by,has parent,vehicle passing by,The sound of car passing by has parent vehicle passing by.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-04,bus,indicates,engine,The sound of bus indicates engine.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-05,car passing by,is instance of,ice cream truck,The sound of car passing by is instance of ice cream truck.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-06,motorcycle,used for,vehicle,The sound of motorcycle is used for vehicle.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-07,"air horn, truck horn",associated with environment,construction site,"The sound of air horn, truck horn is associated with the environment at construction site.",accepted_repair,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-08,skateboard,described by,a board with wheels used for sliding down ramps or rails,The sound of skateboard described by a board with wheels used for sliding down ramps or rails.,accepted_repair,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-09,truck,has parent,vehicle,The sound of truck has parent vehicle.,accepted_repair,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-10,train,indicates,whistle,The sound of train indicates whistle.,accepted_repair,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-11,train,is instance of,engine,The sound of train is instance of engine.,accepted_repair,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-12,bus,used for,vehicle,The sound of bus is used for vehicle.,accepted_repair,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-13,bicycle,associated with environment,trail,The sound of bicycle has the relation associated with environment with trail.,universal_fallback,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-14,screaming,described by,a high-pitched sound made by an infant,The sound of screaming has the relation described by with a high-pitched sound made by an infant.,universal_fallback,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-15,screaming,associated with environment,stadium,The sound of screaming is associated with the environment of a stadium.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-16,car,described by,a large vehicle used for transportation,The sound of car is described by a large vehicle used for transportation.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-17,truck,has parent,large vehicle,The sound of truck has parent large vehicle.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-18,train,indicates,vehicle,The sound of train indicates vehicle.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-19,ambulance (siren),is instance of,grinding,The sound of ambulance (siren) is instance of grinding.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-20,motorcycle,used for,racing,The sound of motorcycle is used for racing.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-21,bus,has parent,large vehicle,The sound of bus has parent large vehicle.,accepted_repair,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-22,bus,is instance of,motorized vehicle,The sound of bus is instance of motorized vehicle.,accepted_repair,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-23,civil defense siren,associated with environment,noise,The sound of civil defense siren has the relation associated with environment with noise.,universal_fallback,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-24,"air horn, truck horn",described by,"a loud, high-pitched vocalization made by a person","The sound of air horn, truck horn has the relation described by with a loud, high-pitched vocalization made by a person.",universal_fallback,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-25,car,associated with environment,driveway,The sound of car associated with environment is on the driveway.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-26,bicycle,described by,ringing,The sound of bicycle is described by ringing.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-27,screaming,has parent,human voice,The sound of screaming has a parent in human voice.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-28,car alarm,indicates,tires,The sound of car alarm indicates tires.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-29,screaming,is instance of,applause,The sound of screaming is instance of applause.,accepted_first,True,True,,,,,
DCASE17-T4,04_DCASE17_T4-30,train horn,used for,sound of things,The sound of train horn is used for sound of things.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-01,Moo,belongs to class,a popular instrument in blues and jazz music,The sound of Moo belongs to class a popular instrument in blues and jazz music.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-02,Coin (dropping),has children,disaster response,The sound of Coin (dropping) has children disaster response.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-03,Breaking,has parent,thump or thud,The sound of Breaking has a parent sound of thump or thud.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-04,Tap,is a type of,water drop,The sound of Tap is a type of water drop.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-05,Bowed string instrument,belongs to class,erhu,The sound of Bowed string instrument belongs to class erhu.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-06,Hair dryer,has children,keyboard typing,The sound of Hair dryer has children keyboard typing.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-07,Chopping (food),has parent,high,The sound of Chopping (food) has parent high.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-08,Sheep,is a type of,equine,The sound of Sheep is a type of equine.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-09,Medium engine (mid frequency),belongs to class,things,The sound of Medium engine (mid frequency) has the relation belongs to class with things.,universal_fallback,True,True,,,,,
AudioSet,05_AudioSet-10,Medium engine (mid frequency),has children,motorcycle engine idling,The sound of Medium engine (mid frequency) has the relation has children with motorcycle engine idling.,universal_fallback,True,True,,,,,
AudioSet,05_AudioSet-11,Medium engine (mid frequency),has parent,vehicle engine,The sound of Medium engine (mid frequency) has the relation has parent with vehicle engine.,universal_fallback,True,True,,,,,
AudioSet,05_AudioSet-12,Heavy engine (low frequency),is a type of,transportation vehicle,The sound of Heavy engine (low frequency) has the relation is a type of with transportation vehicle.,universal_fallback,True,True,,,,,
AudioSet,05_AudioSet-13,Ping,belongs to class,brief tone,The sound of Ping belongs to class brief tone.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-14,Music,has children,mobile music,The sound of Music has children mobile music.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-15,"Rowboat, canoe, kayak",has parent,rowboat canoe kayak,"The sound of Rowboat, canoe, kayak has parent rowboat canoe kayak.",accepted_first,True,True,,,,,
AudioSet,05_AudioSet-16,"Pigeon, dove",is a type of,vocalization,"The sound of Pigeon, dove is a type of vocalization.",accepted_first,True,True,,,,,
AudioSet,05_AudioSet-17,Middle Eastern music,belongs to class,jazz music genre,The sound of Middle Eastern music belongs to class jazz music genre.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-18,Vehicle,has children,cart,The sound of Vehicle has children cart.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-19,Zing,has parent,brief tone,The sound of Zing has parent brief tone.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-20,Zipper (clothing),is a type of,notification,The sound of Zipper (clothing) is a type of notification.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-21,Harmonic,belongs to class,other sourceless,The sound of Harmonic has the relation belongs to class with other sourceless.,universal_fallback,True,True,,,,,
AudioSet,05_AudioSet-22,Harmonic,has children,melody,The sound of Harmonic has the relation has children with melody.,universal_fallback,True,True,,,,,
AudioSet,05_AudioSet-23,Fart,has parent,"a sharp, short sound made by someone at the door","The sound of Fart has the relation has parent with a sharp, short sound made by someone at the door.",universal_fallback,True,True,,,,,
AudioSet,05_AudioSet-24,Harmonic,is a type of,acoustic,The sound of Harmonic has the relation is a type of with acoustic.,universal_fallback,True,True,,,,,
AudioSet,05_AudioSet-25,Boing,belongs to class,source-ambiguous sounds,The sound of Boing belongs to class source-ambiguous sounds.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-26,"Power windows, electric windows",has children,tire squealing,"The sound of Power windows, electric windows has children tire squealing.",accepted_first,True,True,,,,,
AudioSet,05_AudioSet-27,Heavy metal,has parent,country music,The sound of Heavy metal has a parent genre called country music.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-28,Clarinet,is a type of,woodwind instrument,The sound of Clarinet is a type of woodwind instrument.,accepted_first,True,True,,,,,
AudioSet,05_AudioSet-29,Jazz,belongs to class,signals the end of a sports game.,The sound of Jazz belongs to class signals the end of a sports game.,accepted_repair,True,True,,,,,
AudioSet,05_AudioSet-30,Scrape,has children,metal on metal,The sound of Scrape has children metal on metal.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-01,park,described by,bird,The sound of park is described by bird.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-02,bus,event composed of,tire screeching,The sound of bus event composed of tire screeching.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-03,library,has parent,stadium,The sound of library has parent stadium.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-04,train,is variant of,vehicle,The sound of train is variant of vehicle.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-05,grocery store,scene contains,chemical hazard,The sound of grocery store scene contains chemical hazard.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-06,library,described by,short,The sound of library described by short.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-07,park,event composed of,chirping,The sound of park event composed of chirping.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-08,metro station,has parent,train station,The sound of metro station has parent train station.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-09,office,scene contains,elevator ding,The sound of office scene contains the elevator ding.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-10,city center,has parent,quiet street,The sound of city center has the relation has parent with quiet street.,universal_fallback,True,True,,,,,
TUT2017,06_TUT2017-11,bus,scene contains,screeching brakes,The sound of bus has the relation scene contains with screeching brakes.,universal_fallback,True,True,,,,,
TUT2017,06_TUT2017-12,car,described by,a large vehicle used for transportation,The sound of car is described by a large vehicle used for transportation.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-13,office,event composed of,mountain,The sound of office is not composed of mountain.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-14,train,has parent,rail transport,The sound of train has parent rail transport.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-15,cafe or restaurant,is variant of,fountain,The sound of cafe or restaurant is variant of fountain.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-16,home,event composed of,sea or ocean,The sound of home is composed of sea or ocean.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-17,beach,has parent,forest,The sound of beach has parent forest.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-18,residential area,has parent,quiet street,The sound of residential area has the relation has parent with quiet street.,universal_fallback,True,True,,,,,
TUT2017,06_TUT2017-19,home,scene contains,dog pant,The sound of home has the relation scene contains with dog pant.,universal_fallback,True,True,,,,,
TUT2017,06_TUT2017-20,cafe or restaurant,described by,thunder,The sound of cafe or restaurant is described by thunder.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-21,park,event composed of,field,The sound of park is composed of field.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-22,grocery store,has parent,nearby residential areas,The sound of grocery store has parent nearby residential areas.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-23,beach,is variant of,vehicle,The sound of beach is variant of vehicle.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-24,cafe or restaurant,event composed of,alerting,The sound of cafe or restaurant event composed of alerting.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-25,bus,has parent,large vehicle,The sound of bus has parent large vehicle.,accepted_repair,True,True,,,,,
TUT2017,06_TUT2017-26,beach,scene contains,sea or ocean,The sound of beach has the relation scene contains with sea or ocean.,universal_fallback,True,True,,,,,
TUT2017,06_TUT2017-27,metro station,described by,flap,The sound of metro station is described by flap.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-28,cafe or restaurant,event composed of,alarming,The sound of cafe or restaurant is composed of alarming.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-29,home,has parent,digestive tract,The sound of home has parent digestive tract.,accepted_first,True,True,,,,,
TUT2017,06_TUT2017-30,residential area,is variant of,street,The sound of residential area is variant of street.,accepted_first,True,True,,,,,
