dataset,dataset_label,source_dataset_label,kg_entity,decision,method,evidence_rule,fallback_behavior,candidate_count,candidates
audioset,Speech,Speech,speech,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Male speech, man speaking","Male speech, man speaking",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Female speech, woman speaking","Female speech, woman speaking",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,"Child speech, kid speaking","Child speech, kid speaking",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Conversation,Conversation,conversation,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,"Narration, monologue","Narration, monologue",,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Babbling,Babbling,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Speech synthesizer,Speech synthesizer,speech synthesizer,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Shout,Shout,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
audioset,Bellow,Bellow,bellow,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Whoop,Whoop,whoop,accepted,exact_normalized,Lowercase/punctuation/underscore normalization gives an exact AKG entity label; the acoustic concept is unchanged.,use_mapped_AKG_entity,0,
audioset,Yell,Yell,,unmapped,unresolved,No semantically equivalent AKG entity is established by the frozen rules; the class keeps its original CLAP score.,no_KG_expansion_keep_CLAP_score,0,
