case_type,dataset,sample_index,audio_path,truth_indices,truth_labels,CLAP_prediction,iKnow_prediction,module_prediction,TFS_prediction,selected_relations,ranks,evidence_details
AAKV_only_rescue,AudioSet,7695,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/O_ps1uO85v0.wav,"[386, 384, 0, 7]","[""Computer keyboard"", ""Typing"", ""Speech"", ""Speech synthesizer""]",Buzz,Snake,Typing,Typing,"[""precedes"", ""is variant of"", ""event composed of"", ""responds to"", ""is instance of""]","{""CLAP"": 5, ""I_iKnow"": 17, ""T_AAKV"": 1, ""F_Fusion"": 13, ""S_Selector"": 12, ""TF"": 1, ""TS"": 1, ""FS"": 8, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""Typing"", ""evidence"": [{""relation"": ""precedes"", ""tail"": ""door opening"", ""direct_triple"": ""Typing, door opening"", ""AAKV_text"": ""The sound of Typing precedes the sound of door opening."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is variant of"", ""tail"": ""woodpecker"", ""direct_triple"": ""Typing, woodpecker"", ""AAKV_text"": ""The sound of Typing is variant of woodpecker."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""event composed of"", ""tail"": ""water droplets"", ""direct_triple"": ""Typing, water droplets"", ""AAKV_text"": ""The sound of Typing is composed of water droplets."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""responds to"", ""tail"": ""car engine stopping"", ""direct_triple"": ""Typing, car engine stopping"", ""AAKV_text"": ""The sound of Typing responds to the sound of a car engine stopping."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is instance of"", ""tail"": ""things"", ""direct_triple"": ""Typing, things"", ""AAKV_text"": ""The sound of Typing is instance of things."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""Computer keyboard"", ""evidence"": [{""relation"": ""precedes"", ""tail"": ""street music"", ""direct_triple"": ""Computer keyboard, street music"", ""AAKV_text"": ""The sound of Computer keyboard precedes street music."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is variant of"", ""tail"": ""hammering"", ""direct_triple"": ""Computer keyboard, hammering"", ""AAKV_text"": ""The sound of Computer keyboard is variant of hammering."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""event composed of"", ""tail"": ""a stringed musical instrument with a wooden body and metal strings"", ""direct_triple"": ""Computer keyboard, a stringed musical instrument with a wooden body and metal strings"", ""AAKV_text"": ""The sound of Computer keyboard is composed of a stringed musical instrument with a wooden body and metal strings."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""responds to"", ""tail"": ""urban transportation"", ""direct_triple"": ""Computer keyboard, urban transportation"", ""AAKV_text"": ""The sound of Computer keyboard responds to urban transportation."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
AAKV_only_rescue,FSD50K,2239,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/365560.wav,"[36, 14, 192, 5, 15]","[""Chirp, tweet"", ""Bird"", ""Wild animals"", ""Animal"", ""Bird vocalization, bird call, bird song""]","Domestic animals, pets","Chicken, rooster",Bird,Bird,"[""has pitch"", ""produced during"", ""event composed of"", ""emitted by"", ""has children""]","{""CLAP"": 5, ""I_iKnow"": 6, ""T_AAKV"": 1, ""F_Fusion"": 6, ""S_Selector"": 6, ""TF"": 1, ""TS"": 1, ""FS"": 4, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""Bird"", ""evidence"": [{""relation"": ""has pitch"", ""tail"": ""high"", ""direct_triple"": ""Bird, high"", ""AAKV_text"": ""The sound of Bird has the relation has pitch with high."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""produced during"", ""tail"": ""nesting"", ""direct_triple"": ""Bird, nesting"", ""AAKV_text"": ""The sound of Bird produced during nesting."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""event composed of"", ""tail"": ""chirping"", ""direct_triple"": ""Bird, chirping"", ""AAKV_text"": ""The sound of Bird is composed of chirping."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""emitted by"", ""tail"": ""chirping"", ""direct_triple"": ""Bird, chirping"", ""AAKV_text"": ""The sound of Bird emitted by chirping."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""has children"", ""tail"": ""penguins braying"", ""direct_triple"": ""Bird, penguins braying"", ""AAKV_text"": ""The sound of Bird has children penguins braying."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""Chirp, tweet"", ""evidence"": []}}"
AAKV_only_rescue,TUT2017,2885,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b004_130_140.wav,[12],"[""residential area""]",grocery store,grocery store,residential area,residential area,"[""emitted by"", ""temporal component of"", ""overlaps with"", ""event composed of"", ""is variant of""]","{""CLAP"": 3, ""I_iKnow"": 5, ""T_AAKV"": 1, ""F_Fusion"": 4, ""S_Selector"": 4, ""TF"": 1, ""TS"": 1, ""FS"": 3, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""residential area"", ""evidence"": [{""relation"": ""emitted by"", ""tail"": ""engine"", ""direct_triple"": ""residential area, engine"", ""AAKV_text"": ""The sound of residential area emitted by engine."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""temporal component of"", ""tail"": ""street"", ""direct_triple"": ""residential area, street"", ""AAKV_text"": ""The sound of residential area is the temporal component of street."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""overlaps with"", ""tail"": ""street"", ""direct_triple"": ""residential area, street"", ""AAKV_text"": ""The sound of residential area overlaps with street."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""event composed of"", ""tail"": ""street"", ""direct_triple"": ""residential area, street"", ""AAKV_text"": ""The sound of residential area is composed of street."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is variant of"", ""tail"": ""street"", ""direct_triple"": ""residential area, street"", ""AAKV_text"": ""The sound of residential area is variant of street."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""residential area"", ""evidence"": [{""relation"": ""emitted by"", ""tail"": ""engine"", ""direct_triple"": ""residential area, engine"", ""AAKV_text"": ""The sound of residential area emitted by engine."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""temporal component of"", ""tail"": ""street"", ""direct_triple"": ""residential area, street"", ""AAKV_text"": ""The sound of residential area is the temporal component of street."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""overlaps with"", ""tail"": ""street"", ""direct_triple"": ""residential area, street"", ""AAKV_text"": ""The sound of residential area overlaps with street."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""event composed of"", ""tail"": ""street"", ""direct_triple"": ""residential area, street"", ""AAKV_text"": ""The sound of residential area is composed of street."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is variant of"", ""tail"": ""street"", ""direct_triple"": ""residential area, street"", ""AAKV_text"": ""The sound of residential area is variant of street."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
Selector_only_rescue,AudioSet,9901,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/WgKO_IxUjr8.wav,"[195, 196]","[""Wind instrument, woodwind instrument"", ""Flute""]",Soundtrack music,Soundtrack music,Flute,Flute,"[""is instance of"", ""emitted by"", ""follows"", ""is sound of"", ""linked to visual""]","{""CLAP"": 3, ""I_iKnow"": 5, ""T_AAKV"": 4, ""F_Fusion"": 16, ""S_Selector"": 1, ""TF"": 4, ""TS"": 1, ""FS"": 1, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""Flute"", ""evidence"": [{""relation"": ""is instance of"", ""tail"": ""instrument"", ""direct_triple"": ""Flute, instrument"", ""AAKV_text"": ""The sound of Flute is instance of instrument."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""emitted by"", ""tail"": ""band"", ""direct_triple"": ""Flute, band"", ""AAKV_text"": ""The sound of Flute is emitted by band."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""follows"", ""tail"": ""jazz performer"", ""direct_triple"": ""Flute, jazz performer"", ""AAKV_text"": ""The sound of Flute follows jazz performer."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is sound of"", ""tail"": ""instrument"", ""direct_triple"": ""Flute, instrument"", ""AAKV_text"": ""The sound of Flute is instrument."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""linked to visual"", ""tail"": ""music performance"", ""direct_triple"": ""Flute, music performance"", ""AAKV_text"": ""The sound of Flute is linked to visual music performance."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""Wind instrument, woodwind instrument"", ""evidence"": [{""relation"": ""is instance of"", ""tail"": ""instrument"", ""direct_triple"": ""Wind instrument, woodwind instrument, instrument"", ""AAKV_text"": ""The sound of Wind instrument is instance of instrument."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""emitted by"", ""tail"": ""melody"", ""direct_triple"": ""Wind instrument, woodwind instrument, melody"", ""AAKV_text"": ""The sound of Wind instrument is emitted by melody."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""follows"", ""tail"": ""jazz performance instrument"", ""direct_triple"": ""Wind instrument, woodwind instrument, jazz performance instrument"", ""AAKV_text"": ""The sound of Wind instrument follows jazz performance instrument."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
Selector_only_rescue,UrbanSound8K,4485,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold6/184805-0-0-27.wav,[0],"[""air conditioner""]",air conditioner,dog bark,air conditioner,air conditioner,"[""emotionally associated with"", ""requires attention"", ""temporal component of"", ""produces"", ""performed by""]","{""CLAP"": 1, ""I_iKnow"": 5, ""T_AAKV"": 5, ""F_Fusion"": 5, ""S_Selector"": 1, ""TF"": 5, ""TS"": 3, ""FS"": 1, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""air conditioner"", ""evidence"": [{""relation"": ""emotionally associated with"", ""tail"": ""warbler chirping"", ""direct_triple"": ""air conditioner, warbler chirping"", ""AAKV_text"": ""The sound of air conditioner is emotionally associated with warbler chirping."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""requires attention"", ""tail"": ""chime"", ""direct_triple"": ""air conditioner, chime"", ""AAKV_text"": ""The sound of air conditioner requires attention when a chime is heard."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""temporal component of"", ""tail"": ""closing"", ""direct_triple"": ""air conditioner, closing"", ""AAKV_text"": ""The sound of air conditioner is the temporal component of closing."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""produces"", ""tail"": ""ringing"", ""direct_triple"": ""air conditioner, ringing"", ""AAKV_text"": ""The sound of air conditioner produces ringing."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""performed by"", ""tail"": ""father"", ""direct_triple"": ""air conditioner, father"", ""AAKV_text"": ""The sound of air conditioner performed by father."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""air conditioner"", ""evidence"": [{""relation"": ""emotionally associated with"", ""tail"": ""warbler chirping"", ""direct_triple"": ""air conditioner, warbler chirping"", ""AAKV_text"": ""The sound of air conditioner is emotionally associated with warbler chirping."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""requires attention"", ""tail"": ""chime"", ""direct_triple"": ""air conditioner, chime"", ""AAKV_text"": ""The sound of air conditioner requires attention when a chime is heard."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""temporal component of"", ""tail"": ""closing"", ""direct_triple"": ""air conditioner, closing"", ""AAKV_text"": ""The sound of air conditioner is the temporal component of closing."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""produces"", ""tail"": ""ringing"", ""direct_triple"": ""air conditioner, ringing"", ""AAKV_text"": ""The sound of air conditioner produces ringing."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""performed by"", ""tail"": ""father"", ""direct_triple"": ""air conditioner, father"", ""AAKV_text"": ""The sound of air conditioner performed by father."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
Selector_only_rescue,FSD50K,1367,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/423217.wav,[4],"[""Alarm""]",Alarm,Brass instrument,Alarm,Alarm,"[""co-occurs with"", ""overlaps with"", ""described by"", ""associated with environment"", ""associated with event""]","{""CLAP"": 1, ""I_iKnow"": 4, ""T_AAKV"": 3, ""F_Fusion"": 3, ""S_Selector"": 1, ""TF"": 3, ""TS"": 4, ""FS"": 4, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""Alarm"", ""evidence"": [{""relation"": ""co-occurs with"", ""tail"": ""barking"", ""direct_triple"": ""Alarm, barking"", ""AAKV_text"": ""The sound of Alarm co-occurs with barking."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""overlaps with"", ""tail"": ""high"", ""direct_triple"": ""Alarm, high"", ""AAKV_text"": ""The sound of Alarm overlaps with high."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""described by"", ""tail"": ""electronic dance music production"", ""direct_triple"": ""Alarm, electronic dance music production"", ""AAKV_text"": ""The sound of Alarm is described by electronic dance music production."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""associated with environment"", ""tail"": ""orchestra"", ""direct_triple"": ""Alarm, orchestra"", ""AAKV_text"": ""The sound of Alarm has the relation associated with environment with orchestra."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""associated with event"", ""tail"": ""phone ringing"", ""direct_triple"": ""Alarm, phone ringing"", ""AAKV_text"": ""The sound of Alarm has the relation associated with event with phone ringing."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""Alarm"", ""evidence"": [{""relation"": ""co-occurs with"", ""tail"": ""barking"", ""direct_triple"": ""Alarm, barking"", ""AAKV_text"": ""The sound of Alarm co-occurs with barking."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""overlaps with"", ""tail"": ""high"", ""direct_triple"": ""Alarm, high"", ""AAKV_text"": ""The sound of Alarm overlaps with high."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""described by"", ""tail"": ""electronic dance music production"", ""direct_triple"": ""Alarm, electronic dance music production"", ""AAKV_text"": ""The sound of Alarm is described by electronic dance music production."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""associated with environment"", ""tail"": ""orchestra"", ""direct_triple"": ""Alarm, orchestra"", ""AAKV_text"": ""The sound of Alarm has the relation associated with environment with orchestra."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""associated with event"", ""tail"": ""phone ringing"", ""direct_triple"": ""Alarm, phone ringing"", ""AAKV_text"": ""The sound of Alarm has the relation associated with event with phone ringing."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
TFS_combination_only_rescue,AudioSet,9359,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/UoxHwOl2gN0.wav,"[235, 137]","[""Jazz"", ""Music""]",Wedding music,Salsa music,Jazz,Jazz,"[""warns about"", ""emitted by"", ""has parent"", ""is instance of"", ""overlaps with""]","{""CLAP"": 5, ""I_iKnow"": 6, ""T_AAKV"": 3, ""F_Fusion"": 6, ""S_Selector"": 6, ""TF"": 3, ""TS"": 4, ""FS"": 5, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""Jazz"", ""evidence"": [{""relation"": ""warns about"", ""tail"": ""danger signal alert warning"", ""direct_triple"": ""Jazz, danger signal alert warning"", ""AAKV_text"": ""The sound of Jazz warns about danger signal alert warning."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""emitted by"", ""tail"": ""melody"", ""direct_triple"": ""Jazz, melody"", ""AAKV_text"": ""The sound of Jazz is emitted by melody."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""has parent"", ""tail"": ""cat meowing"", ""direct_triple"": ""Jazz, cat meowing"", ""AAKV_text"": ""The sound of Jazz has a parent which is cat meowing."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is instance of"", ""tail"": ""construction zone intersection"", ""direct_triple"": ""Jazz, construction zone intersection"", ""AAKV_text"": ""The sound of Jazz is instance of construction zone intersection."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""overlaps with"", ""tail"": ""cashier counting money"", ""direct_triple"": ""Jazz, cashier counting money"", ""AAKV_text"": ""The sound of Jazz overlaps with cashier counting money."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""Jazz"", ""evidence"": [{""relation"": ""warns about"", ""tail"": ""danger signal alert warning"", ""direct_triple"": ""Jazz, danger signal alert warning"", ""AAKV_text"": ""The sound of Jazz warns about danger signal alert warning."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""emitted by"", ""tail"": ""melody"", ""direct_triple"": ""Jazz, melody"", ""AAKV_text"": ""The sound of Jazz is emitted by melody."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""has parent"", ""tail"": ""cat meowing"", ""direct_triple"": ""Jazz, cat meowing"", ""AAKV_text"": ""The sound of Jazz has a parent which is cat meowing."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is instance of"", ""tail"": ""construction zone intersection"", ""direct_triple"": ""Jazz, construction zone intersection"", ""AAKV_text"": ""The sound of Jazz is instance of construction zone intersection."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""overlaps with"", ""tail"": ""cashier counting money"", ""direct_triple"": ""Jazz, cashier counting money"", ""AAKV_text"": ""The sound of Jazz overlaps with cashier counting money."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
TFS_combination_only_rescue,ESC-50,462,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/2-109371-C-16.wav,[49],"[""wind""]",train,train,wind,wind,"[""warns about"", ""has pitch"", ""is a type of"", ""is instance of"", ""described by""]","{""CLAP"": 2, ""I_iKnow"": 5, ""T_AAKV"": 2, ""F_Fusion"": 3, ""S_Selector"": 5, ""TF"": 2, ""TS"": 5, ""FS"": 4, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""wind"", ""evidence"": [{""relation"": ""warns about"", ""tail"": ""parade noise"", ""direct_triple"": ""wind, parade noise"", ""AAKV_text"": ""The sound of wind warns about parade noise."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""has pitch"", ""tail"": ""ding-dong"", ""direct_triple"": ""wind, ding-dong"", ""AAKV_text"": ""The sound of wind has the relation has pitch with ding-dong."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is a type of"", ""tail"": ""bird song"", ""direct_triple"": ""wind, bird song"", ""AAKV_text"": ""The sound of wind is a type of bird song."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is instance of"", ""tail"": ""ocean"", ""direct_triple"": ""wind, ocean"", ""AAKV_text"": ""The sound of wind is instance of ocean."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""described by"", ""tail"": ""drilling"", ""direct_triple"": ""wind, drilling"", ""AAKV_text"": ""The sound of wind described by drilling."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""wind"", ""evidence"": [{""relation"": ""warns about"", ""tail"": ""parade noise"", ""direct_triple"": ""wind, parade noise"", ""AAKV_text"": ""The sound of wind warns about parade noise."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""has pitch"", ""tail"": ""ding-dong"", ""direct_triple"": ""wind, ding-dong"", ""AAKV_text"": ""The sound of wind has the relation has pitch with ding-dong."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is a type of"", ""tail"": ""bird song"", ""direct_triple"": ""wind, bird song"", ""AAKV_text"": ""The sound of wind is a type of bird song."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""is instance of"", ""tail"": ""ocean"", ""direct_triple"": ""wind, ocean"", ""AAKV_text"": ""The sound of wind is instance of ocean."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""described by"", ""tail"": ""drilling"", ""direct_triple"": ""wind, drilling"", ""AAKV_text"": ""The sound of wind described by drilling."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
TFS_combination_only_rescue,FSD50K,9525,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/263458.wav,"[3, 184]","[""Aircraft"", ""Vehicle""]","Fixed-wing aircraft, airplane",Fireworks,Aircraft,Aircraft,"[""invites action"", ""localized in"", ""responds to"", ""entails event"", ""described by""]","{""CLAP"": 2, ""I_iKnow"": 4, ""T_AAKV"": 4, ""F_Fusion"": 3, ""S_Selector"": 3, ""TF"": 4, ""TS"": 2, ""FS"": 3, ""TFS_Final"": 1}","{""final_prediction"": {""class"": ""Aircraft"", ""evidence"": [{""relation"": ""invites action"", ""tail"": ""environment"", ""direct_triple"": ""Aircraft, environment"", ""AAKV_text"": ""The sound of Aircraft invites action in the environment."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""localized in"", ""tail"": ""airfield"", ""direct_triple"": ""Aircraft, airfield"", ""AAKV_text"": ""The sound of Aircraft localized in airfield."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""responds to"", ""tail"": ""traffic congestion"", ""direct_triple"": ""Aircraft, traffic congestion"", ""AAKV_text"": ""The sound of Aircraft responds to traffic congestion."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""entails event"", ""tail"": ""vehicle engine"", ""direct_triple"": ""Aircraft, vehicle engine"", ""AAKV_text"": ""The sound of Aircraft has the relation entails event with vehicle engine."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""described by"", ""tail"": ""a type of aircraft used for transportation or military purposes"", ""direct_triple"": ""Aircraft, a type of aircraft used for transportation or military purposes"", ""AAKV_text"": ""The sound of Aircraft is described by a type of aircraft used for transportation or military purposes."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""Aircraft"", ""evidence"": [{""relation"": ""invites action"", ""tail"": ""environment"", ""direct_triple"": ""Aircraft, environment"", ""AAKV_text"": ""The sound of Aircraft invites action in the environment."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""localized in"", ""tail"": ""airfield"", ""direct_triple"": ""Aircraft, airfield"", ""AAKV_text"": ""The sound of Aircraft localized in airfield."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""responds to"", ""tail"": ""traffic congestion"", ""direct_triple"": ""Aircraft, traffic congestion"", ""AAKV_text"": ""The sound of Aircraft responds to traffic congestion."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""entails event"", ""tail"": ""vehicle engine"", ""direct_triple"": ""Aircraft, vehicle engine"", ""AAKV_text"": ""The sound of Aircraft has the relation entails event with vehicle engine."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""described by"", ""tail"": ""a type of aircraft used for transportation or military purposes"", ""direct_triple"": ""Aircraft, a type of aircraft used for transportation or military purposes"", ""AAKV_text"": ""The sound of Aircraft is described by a type of aircraft used for transportation or military purposes."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
TFS_harm,AudioSet,12968,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/hcc6AwKKgb4.wav,"[296, 84]","[""Steam"", ""Hiss""]",Air brake,Hiss,"Water tap, faucet","Water tap, faucet","[""affects"", ""associated with environment"", ""associated with event"", ""belongs to class"", ""can be heard in""]","{""CLAP"": 4, ""I_iKnow"": 1, ""T_AAKV"": 7, ""F_Fusion"": 2, ""S_Selector"": 2, ""TF"": 8, ""TS"": 7, ""FS"": 2, ""TFS_Final"": 34}","{""final_prediction"": {""class"": ""Water tap, faucet"", ""evidence"": [{""relation"": ""affects"", ""tail"": ""dental hygiene"", ""direct_triple"": ""Water tap, faucet, dental hygiene"", ""AAKV_text"": ""The sound of Water tap affects dental hygiene."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""associated with environment"", ""tail"": ""kitchen"", ""direct_triple"": ""Water tap, faucet, kitchen"", ""AAKV_text"": ""The sound of Water tap has the relation associated with environment with kitchen."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""associated with event"", ""tail"": ""oral hygiene"", ""direct_triple"": ""Water tap, faucet, oral hygiene"", ""AAKV_text"": ""The sound of Water tap is associated with event oral hygiene."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""belongs to class"", ""tail"": ""bathroom sounds"", ""direct_triple"": ""Water tap, faucet, bathroom sounds"", ""AAKV_text"": ""The sound of Water tap belongs to class bathroom sounds."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""can be heard in"", ""tail"": ""kitchen"", ""direct_triple"": ""Water tap, faucet, kitchen"", ""AAKV_text"": ""The sound of Water tap can be heard in kitchen."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}, ""ground_truth_reference"": {""class"": ""Steam"", ""evidence"": [{""relation"": ""affects"", ""tail"": ""weather conditions"", ""direct_triple"": ""Steam, weather conditions"", ""AAKV_text"": ""The sound of Steam affects weather conditions."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""associated with environment"", ""tail"": ""canyon"", ""direct_triple"": ""Steam, canyon"", ""AAKV_text"": ""The sound of Steam has the relation associated with environment with canyon."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""associated with event"", ""tail"": ""tsunami warning"", ""direct_triple"": ""Steam, tsunami warning"", ""AAKV_text"": ""The sound of Steam is associated with event tsunami warning."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""belongs to class"", ""tail"": ""natural sounds"", ""direct_triple"": ""Steam, natural sounds"", ""AAKV_text"": ""The sound of Steam belongs to the class of natural sounds."", ""choice"": ""Top-1 KGE tail within this selected relation""}, {""relation"": ""can be heard in"", ""tail"": ""harbor"", ""direct_triple"": ""Steam, harbor"", ""AAKV_text"": ""The sound of Steam can be heard in harbor."", ""choice"": ""Top-1 KGE tail within this selected relation""}]}}"
